2	5	1982	28.02	19.3	90.0	112.5
3	5	1982	25.44	17.08	0.0	112.5
4	5	1982	27.01	23.57	112.5	135.0
5	5	1982	27.14	25.91	90.0	112.5
6	5	1982	27.6	26.98	112.5	135.0
7	5	1982	26.96	22.94	112.5	112.5
8	5	1982	26.97	21.91	90.0	112.5
9	5	1982	27.64	30.82	90.0	90.0
10	5	1982	27.33	30.35	67.5	112.5
11	5	1982	27.28	23.54	112.5	135.0
12	5	1982	27.39	30.19	90.0	112.5
13	5	1982	27.68	29.24	90.0	112.5
14	5	1982	27.23	24.31	112.5	112.5
15	5	1982	27.06	30.13	112.5	112.5
16	5	1982	26.82	24.82	112.5	135.0
17	5	1982	26.75	26.63	112.5	135.0
18	5	1982	26.9	31.53	112.5	112.5
19	5	1982	26.46	32.93	90.0	112.5
20	5	1982	26.44	34.86	112.5	112.5
21	5	1982	26.34	20.31	135.0	157.5
22	5	1982	26.56	17.97	135.0	157.5
23	5	1982	27.32	25.18	112.5	135.0
24	5	1982	27.22	31.54	112.5	112.5
25	5	1982	26.7	25.16	112.5	135.0
26	5	1982	26.43	32.36	112.5	135.0
27	5	1982	25.9	30.82	135.0	135.0
28	5	1982	26.6	33.13	112.5	135.0
29	5	1982	26.41	31.47	90.0	112.5
30	5	1982	27.16	30.38	112.5	112.5
31	5	1982	27.36	32.7	112.5	112.5
1	6	1982	26.7	29.7	112.5	135.0
2	6	1982	25.07	18.53	0.0	135.0
3	6	1982	26.18	34.5	90.0	112.5
4	6	1982	26.86	30.02	67.5	90.0
5	6	1982	25.68	13.32	0.0	90.0
6	6	1982	27.64	19.24	22.5	67.5
7	6	1982	27.42	18.52	45.0	67.5
8	6	1982	26.38	21.12	45.0	360.0
9	6	1982	27.43	20.33	45.0	112.5
10	6	1982	27.62	20.32	90.0	112.5
11	6	1982	27.38	14.82	0.0	90.0
12	6	1982	27.75	18.1	90.0	90.0
13	6	1982	26.46	20.32	135.0	157.5
14	6	1982	26.36	29.3	135.0	135.0
15	6	1982	25.62	27.42	112.5	135.0
16	6	1982	25.2	35.04	112.5	135.0
17	6	1982	23.98	34.14	112.5	135.0
18	6	1982	25.23	26.13	112.5	135.0
19	6	1982	27.23	29.94	67.5	90.0
20	6	1982	26.58	36.74	90.0	112.5
21	6	1982	27.02	26.26	90.0	112.5
22	6	1982	26.5	26.38	67.5	135.0
23	6	1982	26.31	21.93	112.5	135.0
24	6	1982	26.47	32.15	112.5	135.0
25	6	1982	25.12	40.09	90.0	112.5
26	6	1982	26.1	35.76	112.5	112.5
27	6	1982	26.34	31.1	112.5	135.0
28	6	1982	25.73	32.53	112.5	135.0
29	6	1982	24.91	30.39	135.0	135.0
30	6	1982	24.94	24.89	112.5	157.5
1	7	1982	25.66	37.82	135.0	135.0
2	7	1982	25.6	30.1	90.0	157.5
3	7	1982	24.87	37.91	67.5	135.0
4	7	1982	25.86	32.98	112.5	112.5
5	7	1982	25.5	41.95	112.5	112.5
6	7	1982	25.31	35.75	112.5	135.0
7	7	1982	25.43	28.07	90.0	135.0
8	7	1982	27.04	42.32	90.0	90.0
9	7	1982	26.36	44.71	90.0	90.0
10	7	1982	25.87	48.39	90.0	112.5
11	7	1982	26.48	34.14	112.5	112.5
12	7	1982	26.43	34.63	90.0	112.5
13	7	1982	26.14	29.43	90.0	112.5
14	7	1982	25.84	26.16	135.0	157.5
15	7	1982	24.9	35.92	112.5	135.0
16	7	1982	25.24	34.25	112.5	135.0
17	7	1982	25.44	25.13	112.5	157.5
18	7	1982	25.48	17.8	90.0	315.0
19	7	1982	26.82	20.6	67.5	112.5
20	7	1982	25.99	22.19	90.0	135.0
21	7	1982	25.97	26.23	112.5	135.0
22	7	1982	25.58	30.1	135.0	157.5
23	7	1982	25.34	37.14	112.5	135.0
24	7	1982	25.66	31.27	112.5	135.0
25	7	1982	25.58	34.42	112.5	135.0
26	7	1982	25.16	29.58	112.5	135.0
27	7	1982	25.71	26.17	90.0	135.0
28	7	1982	25.43	36.01	90.0	112.5
29	7	1982	26.22	34.86	90.0	112.5
30	7	1982	25.93	33.12	90.0	112.5
31	7	1982	25.66	29.93	112.5	135.0
1	8	1982	26.02	27.14	90.0	135.0
2	8	1982	26.27	33.37	90.0	112.5
3	8	1982	26.25	32.0	90.0	112.5
4	8	1982	26.07	35.24	90.0	112.5
5	8	1982	26.06	33.42	112.5	135.0
6	8	1982	25.07	22.94	112.5	135.0
7	8	1982	25.57	28.84	90.0	112.5
8	8	1982	26.44	41.18	90.0	112.5
9	8	1982	25.73	33.73	90.0	135.0
10	8	1982	25.8	30.82	90.0	112.5
11	8	1982	25.57	32.04	90.0	112.5
12	8	1982	26.0	39.62	90.0	112.5
13	8	1982	25.64	38.64	90.0	112.5
14	8	1982	25.7	35.3	112.5	135.0
15	8	1982	26.42	26.98	90.0	112.5
16	8	1982	26.15	20.1	0.0	112.5
17	8	1982	25.76	15.75	0.0	180.0
18	8	1982	24.46	30.96	112.5	157.5
19	8	1982	26.28	33.78	90.0	112.5
20	8	1982	26.12	34.11	90.0	112.5
21	8	1982	25.93	34.99	90.0	112.5
22	8	1982	26.32	27.78	112.5	135.0
23	8	1982	25.68	36.2	112.5	135.0
24	8	1982	25.18	37.09	90.0	112.5
25	8	1982	25.2	37.87	112.5	112.5
26	8	1982	25.74	31.62	112.5	112.5
27	8	1982	25.43	28.88	112.5	135.0
28	8	1982	24.99	30.19	112.5	135.0
29	8	1982	25.88	29.58	112.5	135.0
30	8	1982	25.87	20.95	135.0	180.0
31	8	1982	24.83	21.94	67.5	202.5
1	9	1982	24.49	31.43	112.5	157.5
2	9	1982	25.16	42.26	112.5	135.0
3	9	1982	24.78	37.81	112.5	135.0
4	9	1982	23.91	25.63	90.0	135.0
5	9	1982	24.86	33.14	112.5	135.0
6	9	1982	23.82	29.27	90.0	135.0
7	9	1982	25.06	26.0	112.5	135.0
8	9	1982	25.34	22.21	90.0	112.5
9	9	1982	26.2	23.32	67.5	90.0
10	9	1982	26.0	23.81	90.0	112.5
11	9	1982	25.91	35.49	90.0	112.5
12	9	1982	26.18	24.76	112.5	112.5
13	9	1982	25.68	19.1	135.0	157.5
14	9	1982	25.06	22.41	135.0	180.0
15	9	1982	24.86	24.63	112.5	135.0
16	9	1982	24.88	30.02	112.5	157.5
17	9	1982	24.75	25.46	112.5	157.5
18	9	1982	24.5	27.56	112.5	157.5
19	9	1982	25.12	29.3	112.5	112.5
